ID,GID,SD_CD,SD_NM,SGG_CD,SGG_NM,INCLINATION,INTERCEPT,DEPTH_10,DEPTH_20,DEPTH_50
35228,다사3550,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35229,다사3551,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35230,다사3552,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35323,다사3649,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35324,다사3650,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35325,다사3651,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35326,다사3652,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35327,다사3653,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35421,다사3748,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35422,다사3749,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35423,다사3750,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35424,다사3751,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35425,다사3752,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35426,다사3753,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35427,다사3754,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35428,다사3755,11,서울,11500,강서구,3.02,-15.22,14.99,45.2,135.83
35521,다사3848,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35522,다사3849,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35523,다사3850,11,서울,11500,강서구,7.61,-18.89,57.2,133.29,361.56
35524,다사3851,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35525,다사3852,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35526,다사3853,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35527,다사3854,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35528,다사3855,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35529,다사3856,11,서울,11500,강서구,3.02,-15.22,14.99,45.2,135.83
35622,다사3949,11,서울,11500,강서구,29.25,-235.7,56.8,349.3,1226.8
35623,다사3950,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35624,다사3951,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35625,다사3952,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35626,다사3953,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35627,다사3954,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35628,다사3955,11,서울,11500,강서구,12.78,-40.47,87.33,215.13,598.53
35718,다사4045,11,서울,11470,양천구,10.02,-48.88,51.32,151.52,452.12
35719,다사4046,11,서울,11470,양천구,29.25,-235.7,56.8,349.3,1226.8
35720,다사4047,11,서울,11470,양천구,29.25,-235.7,56.8,349.3,1226.8
35721,다사4048,11,서울,11470,양천구,29.25,-235.7,56.8,349.3,1226.8
35722,다사4049,11,서울,11500,강서구,29.25,-235.7,56.8,349.3,1226.8
