shelter,X,Y
경로당1,126.91184,37.451403
경로당2,126.898279,37.4674569
경로당3,126.909277,37.449518
경로당4,126.900018,37.4771713
경로당5,126.915324,37.4489098
경로당6,126.893315,37.4683715
경로당7,126.906347,37.4699054
경로당8,126.920002,37.4497601
경로당9,126.905959,37.4729055
경로당10,126.906473,37.47751
경로당11,126.900953,37.4628101
경로당12,126.90643,37.4668241
경로당13,126.897318,37.4756012
경로당14,126.887172,37.456941
경로당15,126.889608,37.4528708
경로당16,126.894436,37.4674535
경로당17,126.895287,37.4645891
경로당18,126.895543,37.4755996
경로당19,126.888685,37.472665
경로당20,126.884238,37.482851
경로당21,126.910658,37.4481135
경로당22,126.906977,37.4545528
경로당23,126.898132,37.4508603
경로당24,126.898283,37.4565998
경로당25,126.898935,37.4506357
경로당26,126.888516,37.4653126
경로당27,126.894526,37.4671383
경로당28,126.892774,37.4670826
경로당29,126.890407,37.4628907
경로당30,126.885799,37.4602013
경로당31,126.888858,37.4553749
경로당32,126.892721,37.4726778
경로당33,126.891269,37.4761363
경로당34,126.877689,37.4777086
경로당35,126.891269,37.4761363
경로당36,126.877167,37.4786722
경로당37,126.904247,37.4588304
경로당38,126.905567,37.4522
경로당39,126.906315,37.4503806
경로당40,126.907324,37.4569948
경로당41,126.907599,37.4628065
경로당42,126.906515,37.4350276
경로당43,126.907152,37.441254
경로당44,126.913875,37.4508009
경로당45,126.902249,37.4740467
경로당46,126.902186,37.4791553
경로당47,126.901656,37.469352
경로당48,126.906427,37.4695
경로당49,126.910486,37.449618
경로당50,126.909113,37.4637357
경로당51,126.906853,37.4448939
경로당52,126.902476,37.4391148
경로당53,126.912622,37.4495025
경로당54,126.917444,37.4530019
경로당55,126.918225,37.4521916
경로당56,126.909329,37.4535635
경로당57,126.898279,37.4674569
경로당58,126.888858,37.4553749
경로당59,126.902476,37.4391148
경로당60,126.910486,37.449618
경로당61,126.908741,37.4628615
경로당62,126.892774,37.4670826
경로당63,126.917734,37.4462266
경로당64,126.89215,37.4610813
경로당65,126.889608,37.4528708
경로당66,126.902186,37.4791553
경로당67,126.888685,37.472665
