관리번호,대피소 명칭,대피소 상세주소,면적,수용가능최대인원,수용가능인원,행정동 코드,행정동 명칭,비고,구
47359,화촌 경로당,화곡본동 105-382,,59,0,11500590,화곡본동,,강서구
47360,화곡초등학교,화곡동 24-266,,1100,0,11500590,화곡본동,,강서구
47361,신길6동 주민센터,신길동 3741-11,,318,0,11560680,신길6동,,영등포구
47362,구로2동 주민센터,구로2동 704-12,,0,0,11530530,구로2동,,구로구
47363,현장민원실,노량진동 10-23,,25,0,11590510,노량진1동,,동작구
47364,서울당곡초등학교,보라매동 693-2,,330,0,11620525,보라매동,,관악구
47365,덕원중학교,내발산동 산 59-2,,450,0,11500611,발산1동,,강서구
47366,서울개봉초등학교,개봉3동 266,,0,0,11530760,개봉3동,,구로구
47367,남명초등학교,신정3동 653-5(남명길 1),,190,0,11470640,신정3동,,양천구
47368,영등포본동 주민센터,영등포동 592-70,,50,0,11560515,영등포본동,,영등포구
47369,신길교회,신길동 95-136,,500,0,11560630,신길1동,,영등포구
47370,광성중고등학교,신수로8길 20(신수동),,242,0,11440630,신수동,,마포구
47371,여의도순복음교회,여의도동 11,,636,0,11560540,여의동,,영등포구
47372,사당청소년문화의집,사당동 산24-17,,250,0,11590640,사당3동,,동작구
47373,남가좌1동 분회경로당,남가좌동 104-11,,53,0,11410690,남가좌1동,,서대문구
47374,원당 경로당,내발산동 650,,29,0,11500615,우장산동,,강서구
47375,고척2동 주민센터,고척동 339-2,,0,0,11530730,고척2동,,구로구
47376,신길4동 주민센터,신길동 209-102,,150,0,11560660,신길4동,,영등포구
47377,대림초등학교,대방동 391-62,,450,0,11590660,대방동,,동작구
47378,숭의여자고등학교,대방동20-114,,500,0,11590660,대방동,,동작구
47379,논현2문화복지회관,논현2동 114-24 (학동로 북32길17),,1500,0,11680531,논현2동,,강남구
47380,신월초등학교,화곡동 1080,,1000,0,11500540,화곡1동,,강서구
47381,서강동주민센터 강당,독막로 175(창전동),,90,0,11410585,신촌동,,서대문구
47382,강남교회,노량진동 222-73,,40,0,11590510,노량진1동,,동작구
47383,숭례초등학교,종암동 22,,253,0,11290705,종암동,,성북구
47384,평강교회,번동 412-18 (한천로995),,337,0,11440565,공덕동,,마포구
47385,숭인초등학교,월곡1동 222-4,,1000,0,11290715,월곡1동,,성북구
47386,배문중고교,청파1가 259-3,,1060,0,11170555,청파동,,용산구
47387,서울소의초등학교,마포대로24길 42 (아현동),,229,0,11440565,공덕동,,마포구
47388,한남초등학교,한남동 726-1,,2350,0,11170685,한남동,,용산구
47389,제기동 주민센터,제기동 287-33,,0,0,11230545,제기동,,동대문구
47390,도성초등학교,역삼2동 714 (역삼로 313),,1786,0,11680650,역삼2동,,강남구
47391,청운초등학교,청운동 123번지 (자하문호 105),,1721,0,11110515,청운효자동,,종로구
47392,창신제일교회,창신동 635-2 (창신 7길 7),,40,0,11110680,창신2동,,종로구
47393,동빙고할머니경로당,동빙고동 65,,70,0,11170690,서빙고동,,용산구
47394,창덕초등학교,정릉3동 847,,200,0,11290640,정릉3동,,성북구
47395,창천초등학교,백범로1길 56(노고산동),,1560,0,11440600,대흥동,,마포구
47396,숭인제1동주민센터,숭인1동 55-2 (지봉로 86),,233,0,11110700,숭인1동,,종로구
47397,신답교회,답십리동 58-26,,0,0,11230610,답십리2동,,동대문구
